L1_ASSOC,L2_ASSOC,L1_INSTRUCTION_CACHE_HITS,L1_INSTRUCTION_CACHE_HIT_RATE,L1_DATA_CACHE_HITS,L1_DATA_CACHE_HIT_RATE,L2_CACHE_HITS,L2_CACHE_HIT_RATE,L1_INSTRUCTION_CACHE_MISSES,L1_INSTRUCTION_CACHE_MISS_RATE,L1_DATA_CACHE_MISSES,L1_DATA_CACHE_MISS_RATE,L2_CACHE_MISS,L2_CACHE_MISS_RATE,AMAT
2,1,677766,0.894928,211062,0.869781,84344,0.758667,79575,0.105072,31599,0.130219,26830,0.241333,4.794733
2,4,677766,0.894928,211062,0.869781,90797,0.816711,79575,0.105072,31599,0.130219,20377,0.183289,4.149434
2,16,677766,0.894928,211062,0.869781,91908,0.826704,79575,0.105072,31599,0.130219,19266,0.173296,4.038334
2,64,677766,0.894928,211062,0.869781,91595,0.823889,79575,0.105072,31599,0.130219,19579,0.176111,4.069634
2,128,677766,0.894928,211062,0.869781,91652,0.824401,79575,0.105072,31599,0.130219,19522,0.175599,4.063934
2,1,725020,0.926231,197083,0.907226,66465,0.853231,57744,0.073769,20154,0.092774,11433,0.146769,2.922278
2,4,725020,0.926231,197083,0.907226,72360,0.928907,57744,0.073769,20154,0.092774,5538,0.071093,2.332779
2,16,725020,0.926231,197083,0.907226,72083,0.925351,57744,0.073769,20154,0.092774,5815,0.074649,2.360479
2,64,725020,0.926231,197083,0.907226,71908,0.923105,57744,0.073769,20154,0.092774,5990,0.076895,2.377979
2,128,725020,0.926231,197083,0.907226,71884,0.922796,57744,0.073769,20154,0.092774,6014,0.077204,2.380378
2,1,597259,0.999916,231924,0.986206,3024,0.918033,50,8.4e-05,3244,0.013794,270,0.081967,1.072002
2,4,597259,0.999916,231924,0.986206,3046,0.924712,50,8.4e-05,3244,0.013794,248,0.075288,1.069359
2,16,597259,0.999916,231924,0.986206,3053,0.926837,50,8.4e-05,3244,0.013794,241,0.073163,1.068518
2,64,597259,0.999916,231924,0.986206,3008,0.913175,50,8.4e-05,3244,0.013794,286,0.086825,1.073924
2,128,597259,0.999916,231924,0.986206,3031,0.920158,50,8.4e-05,3244,0.013794,263,0.079842,1.071161
