SET_ASSOCIATIVITY,INSTRUCTION_CACHE_HITS,INSTRUCTION_CACHE_HIT_RATE,INSTRUCTION_CACHE_MISSES,INSTRUCTION_CACHE_MISS_RATE,DATA_CACHE_HITS,DATA_CACHE_HIT_RATE,DATA_CACHE_MISSES,DATA_CACHE_MISS_RATE,AMAT,L1_BLOCK_SIZE
1,455340,0.76,141969,0.24,206112,0.88,29056,0.12,21.54,2
1,455340,0.76,141969,0.24,216123,0.92,19045,0.08,20.34,4
1,515124,0.86,82185,0.14,221048,0.94,14120,0.06,12.57,8
1,545010,0.91,52299,0.09,222550,0.95,12618,0.05,8.8,16
1,545035,0.91,52274,0.09,222205,0.94,12963,0.06,8.84,32
1,537574,0.9,59735,0.1,220628,0.94,14540,0.06,9.92,64
1,567432,0.95,29877,0.05,214975,0.91,20193,0.09,7.01,128
1,567430,0.95,29879,0.05,196575,0.84,38593,0.16,9.23,256
1,567431,0.95,29878,0.05,185781,0.79,49387,0.21,10.52,512
1,559969,0.94,37340,0.06,171722,0.73,63446,0.27,13.11,1024
