SET_ASSOCIATIVITY,INSTRUCTION_CACHE_HITS,INSTRUCTION_CACHE_HIT_RATE,INSTRUCTION_CACHE_MISSES,INSTRUCTION_CACHE_MISS_RATE,DATA_CACHE_HITS,DATA_CACHE_HIT_RATE,DATA_CACHE_MISSES,DATA_CACHE_MISS_RATE,AMAT
1,673955,0.89,83386,0.11,201911,0.83,40750,0.17,13.41
2,677766,0.89,79575,0.11,211062,0.87,31599,0.13,12.12
4,677887,0.9,79454,0.1,215518,0.89,27143,0.11,11.66
8,678211,0.9,79130,0.1,216996,0.89,25665,0.11,11.48
16,678176,0.9,79165,0.1,217822,0.9,24839,0.1,11.4
32,678069,0.9,79272,0.1,217864,0.9,24797,0.1,11.41
1,721824,0.92,60940,0.08,189128,0.87,28109,0.13,9.9
2,725020,0.93,57744,0.07,197083,0.91,20154,0.09,8.79
4,725608,0.93,57156,0.07,199834,0.92,17403,0.08,8.46
8,724393,0.93,58371,0.07,200900,0.92,16337,0.08,8.47
16,722779,0.92,59985,0.08,200977,0.93,16260,0.07,8.62
32,723968,0.92,58796,0.08,200103,0.92,17134,0.08,8.59
1,545035,0.91,52274,0.09,222205,0.94,12963,0.06,8.84
2,597259,1.0,50,0.0,231924,0.99,3244,0.01,1.4
4,597249,1.0,60,0.0,233655,0.99,1513,0.01,1.19
8,597280,1.0,29,0.0,233767,0.99,1401,0.01,1.17
16,597280,1.0,29,0.0,233762,0.99,1406,0.01,1.17
32,597280,1.0,29,0.0,233353,0.99,1815,0.01,1.22
